,ISIN,Tickers_YF,sector_T,Name,Ticker,Market,Currency,RICS,sector,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score,totalEsg,environmentScore,socialScore,governanceScore,TRBC Industry Group Name,TRBC Economic Sector Name
408,FR0013257409,0P0000ITP8.F,Semiconductors,COFIDUR,ALCOF,Euronext Growth Paris,EUR,ALCOF.PA,,,,,,22.21,4.34,9.35,7.96,Semiconductors & Semiconductor Equipment,Technology
409,NO0010808405,0P0000IVCK.F,Banks,ROMERIKE SPAREBK,ROMER,Euronext Growth Oslo,NOK,ROMER.OL,Heavy Machinery & Vehicles,,,,,24.0,0.0,0.0,0.0,Banking Services,Financials
410,ES0118900010,0P2N.IL,Construction & Engineering,FERROVIAL SA,0P2N,,,FER.MC,Construction & Engineering,81.1922726203549,97.2698053786033,80.5947775628626,86.8976829346151,26.25,7.81,11.36,7.08,Construction & Engineering,Industrials
411,ES0109067019,0P2W.IL,IT Services & Consulting,AMADEUS IT GROUP SA,0P2W,,,AMA.MC,IT Services & Consulting,73.2307380801667,89.8128839057894,96.1935738221959,90.4634965288474,14.49,2.44,6.49,5.57,Software & IT Services,Technology
412,DE000A1H8BV3,0P38.IL,Industrial Machinery & Equipment,NORMA GROUP SE,0P38,,,NOEJ.DE,Industrial Machinery & Equipment,77.8166880000877,82.9746482532745,91.8154418661869,83.729748626116,,,,,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
413,CH0435377954,0P4G.IL,Paper Packaging,SIG COMBIBLOC GROUP AG,0P4G,,,SIGNC.S,Paper Packaging,91.5319175415359,76.5779152140048,91.1513273051734,85.4485049890494,,,,,Containers & Packaging,Basic Materials
414,SE0003950864,0P4X.IL,Industrial Machinery & Equipment,CONCENTRIC AB,0P4X,,,CONIC.ST,Industrial Machinery & Equipment,38.1874535959498,55.4395317756589,77.1214955861361,55.7184947488689,,,,,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
415,AT0000A21KS2,0PAN.IL,"Real Estate Rental, Development & Operations",IMMOFINANZ AG,0PAN,,,IMFI.VI,"Real Estate Rental, Development & Operations",52.8932598822543,75.3603368644816,41.2777777777777,57.1644455048543,,,,,Real Estate Operations,Real Estate
416,ES0126775032,0Q2F.IL,Food Retail & Distribution,DISTRIBUIDORA INTERNACIONAL DE ALIM,0Q2F,,,DIDA.MC,Food Retail & Distribution,62.3934648656589,74.4057435428735,56.7786319731914,66.3817693823798,,,,,Food & Drug Retailing,Consumer Non-Cyclicals
417,DK0060336014,0Q4U.IL,Specialty Chemicals,NOVOZYMES A/S,0Q4U,,,NZYMb.CO,Specialty Chemicals,77.1677732658847,77.8869374526011,63.1766124171187,74.3046800207672,15.05,4.59,3.68,6.78,Chemicals,Basic Materials
