Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"ARTERRA BIOSCIENCE";IT0005386369;ARBS;"Euronext Growth Milan";EUR;2.48;2.48;2.44;2.48;"06/04/2023 14:52";CET;6750;16710.00;-;-
"ARTMARKET COM";FR0000074783;PRC;"Euronext Paris";EUR;6.17;6.27;6.16;6.27;"06/04/2023 17:07";CET;2065;12799.13;-;-
"ARTOIS NOM.";FR0000076952;ARTO;"Euronext Paris";EUR;5000.00;5000.00;5000.00;5000.00;"05/04/2023 11:30";CET;1;5000.00;-;-
ASCENCIO;BE0003856730;ASCE;"Euronext Brussels";EUR;48.75;48.95;48.60;48.60;"06/04/2023 17:37";CET;3939;191803.95;-;-
ASCOPIAVE;IT0004093263;ASC;"Euronext Milan";EUR;2.76;2.785;2.725;2.755;"06/04/2023 17:35";CET;123148;339990.82;-;-
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;9.20;13.25;9.20;11.65;"05/04/2023 13:09";CET;605716;7176697.50;-;-
"ASHLER ET MANSON";FR0012968485;MLAEM;"Euronext Access Paris";EUR;4.20;4.20;4.20;4.20;"04/04/2023 16:30";CET;200;840.00;-;-
"ASKOLL EVA";IT0005337123;EVA;"Euronext Growth Milan";EUR;0.624;0.656;0.624;0.656;"06/04/2023 17:35";CET;27000;17555.00;-;-
"ASM INTERNATIONAL";NL0000334118;ASM;"Euronext Amsterdam";EUR;359.55;360.55;352.35;355.95;"06/04/2023 17:37";CET;158002;56302251.90;-;-
ASML;NL0010273215;2ASML;"Euronext After Hours Milan";EUR;593.20;607.50;590.00;607.50;"05/04/2023 19:01";CET;13;7703.50;-;-
ASML;NL0010273215;1ASML;BITGEM;EUR;605.60;607.20;604.00;607.20;"06/04/2023 17:12";CET;84;50869.50;-;-
"ASML HOLDING";NL0010273215;ASML;"Euronext Amsterdam";EUR;606.30;608.70;601.50;607.00;"06/04/2023 17:38";CET;406108;246216155.40;-;-
"ASR NEDERLAND";NL0011872643;ASRNL;"Euronext Amsterdam";EUR;37.18;37.93;37.10;37.89;"06/04/2023 17:36";CET;449445;16964854.10;-;-
ASSICURAZ.GEN.ORD.;IT0000062072;GEN;"Traded not listed Brussels";EUR;18.05;18.05;18.05;18.05;"05/04/2023 09:00";CET;15;270.75;-;-
ASSYSTEM;FR0000074148;ASY;"Euronext Paris";EUR;42.30;42.40;41.90;42.00;"06/04/2023 17:35";CET;1991;83894.40;-;-
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;6.80;7.16;6.80;6.90;"05/04/2023 12:58";CET;20483;143813.92;-;-
ATARI;FR0010478248;ALATA;"Euronext Growth Paris";EUR;0.117;0.118;0.116;0.1178;"06/04/2023 17:35";CET;96286;11306.23;-;-
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;129.00;130.80;129.00;129.40;"05/04/2023 13:05";CET;31026;4027851.80;-;-
ATEME;FR0011992700;ATEME;"Euronext Paris";EUR;8.42;8.68;8.42;8.46;"06/04/2023 17:35";CET;2726;23145.58;-;-
